"participant","ID","FSQC_SB","FSQC_RB","FSQC_mean"
"sub-0050002","sub-0050002_ses-1_run-1",1,1,1
"sub-0050003","sub-0050003_ses-1_run-1",2.4,1,1.7
"sub-0050004","sub-0050004_ses-1_run-1",1,1,1
"sub-0050005","sub-0050005_ses-1_run-1",1,1,1
"sub-0050006","sub-0050006_ses-1_run-1",1,1,1
"sub-0050007","sub-0050007_ses-1_run-1",2.2,1,1.6
"sub-0050008","sub-0050008_ses-1_run-1",1,1,1
"sub-0050009","sub-0050009_ses-1_run-1",1.4,1,1.2
"sub-0050010","sub-0050010_ses-1_run-1",1,1,1
"sub-0050011","sub-0050011_ses-1_run-1",1,1,1
"sub-0050012","sub-0050012_ses-1_run-1",1,1,1
"sub-0050013","sub-0050013_ses-1_run-1",1.7,1.2,1.45
"sub-0050014","sub-0050014_ses-1_run-1",1,1,1
"sub-0050015","sub-0050015_ses-1_run-1",2.5,1,1.75
"sub-0050016","sub-0050016_ses-1_run-1",1,1,1
"sub-0050019","sub-0050019_ses-1_run-1",1.7,1,1.35
"sub-0050020","sub-0050020_ses-1_run-1",1,1.1,1.05
"sub-0050022","sub-0050022_ses-1_run-1",1,1,1
"sub-0050023","sub-0050023_ses-1_run-1",1.1,1,1.05
"sub-0050024","sub-0050024_ses-1_run-1",1,1,1
"sub-0050025","sub-0050025_ses-1_run-1",1,1,1
"sub-0050026","sub-0050026_ses-1_run-1",1.4,1.1,1.25
"sub-0050027","sub-0050027_ses-1_run-1",1,1,1
"sub-0050028","sub-0050028_ses-1_run-1",1,1,1
"sub-0050029","sub-0050029_ses-1_run-1",1.2,1,1.1
"sub-0050030","sub-0050030_ses-1_run-1",1,1,1
"sub-0050031","sub-0050031_ses-1_run-1",2.4,1.2,1.8
"sub-0050032","sub-0050032_ses-1_run-1",1,1,1
"sub-0050033","sub-0050033_ses-1_run-1",1.8,1,1.4
"sub-0050034","sub-0050034_ses-1_run-1",1,1,1
"sub-0050035","sub-0050035_ses-1_run-1",1,1,1
"sub-0050036","sub-0050036_ses-1_run-1",2.6,1,1.8
"sub-0050037","sub-0050037_ses-1_run-1",1,1,1
"sub-0050038","sub-0050038_ses-1_run-1",1,1,1
"sub-0050039","sub-0050039_ses-1_run-1",1.1,1,1.05
"sub-0050040","sub-0050040_ses-1_run-1",1.1,1,1.05
"sub-0050041","sub-0050041_ses-1_run-1",1,1.1,1.05
