"image","sub","SB_FSQC","RB_FSQC"
"sub-0050002_ses-1_run-1_ax1_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_ax2_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_ax3_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_cor1_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_cor2_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_cor3_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_sag1_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_sag2_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_sag3_surfaces.png","sub-0050002",1,1
"sub-0050002_ses-1_run-1_sag4_surfaces.png","sub-0050002",1,1
"sub-0050003_ses-1_run-1_ax1_surfaces.png","sub-0050003",1,1
"sub-0050003_ses-1_run-1_ax2_surfaces.png","sub-0050003",1,1
"sub-0050003_ses-1_run-1_ax3_surfaces.png","sub-0050003",1,1
"sub-0050003_ses-1_run-1_cor1_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_cor2_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_cor3_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_sag1_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_sag2_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_sag3_surfaces.png","sub-0050003",3,1
"sub-0050003_ses-1_run-1_sag4_surfaces.png","sub-0050003",3,1
"sub-0050004_ses-1_run-1_ax1_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_ax2_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_ax3_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_cor1_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_cor2_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_cor3_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_sag1_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_sag2_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_sag3_surfaces.png","sub-0050004",1,1
"sub-0050004_ses-1_run-1_sag4_surfaces.png","sub-0050004",1,1
"sub-0050005_ses-1_run-1_ax1_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_ax2_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_ax3_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_cor1_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_cor2_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_cor3_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_sag1_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_sag2_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_sag3_surfaces.png","sub-0050005",1,1
"sub-0050005_ses-1_run-1_sag4_surfaces.png","sub-0050005",1,1
"sub-0050006_ses-1_run-1_ax1_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_ax2_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_ax3_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_cor1_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_cor2_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_cor3_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_sag1_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_sag2_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_sag3_surfaces.png","sub-0050006",1,1
"sub-0050006_ses-1_run-1_sag4_surfaces.png","sub-0050006",1,1
"sub-0050007_ses-1_run-1_ax1_surfaces.png","sub-0050007",1,1
"sub-0050007_ses-1_run-1_ax2_surfaces.png","sub-0050007",1,1
"sub-0050007_ses-1_run-1_ax3_surfaces.png","sub-0050007",1,1
"sub-0050007_ses-1_run-1_cor1_surfaces.png","sub-0050007",3,1
"sub-0050007_ses-1_run-1_cor2_surfaces.png","sub-0050007",3,1
"sub-0050007_ses-1_run-1_cor3_surfaces.png","sub-0050007",1,1
"sub-0050007_ses-1_run-1_sag1_surfaces.png","sub-0050007",3,1
"sub-0050007_ses-1_run-1_sag2_surfaces.png","sub-0050007",3,1
"sub-0050007_ses-1_run-1_sag3_surfaces.png","sub-0050007",3,1
"sub-0050007_ses-1_run-1_sag4_surfaces.png","sub-0050007",3,1
"sub-0050008_ses-1_run-1_ax1_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_ax2_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_ax3_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_cor1_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_cor2_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_cor3_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_sag1_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_sag2_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_sag3_surfaces.png","sub-0050008",1,1
"sub-0050008_ses-1_run-1_sag4_surfaces.png","sub-0050008",1,1
"sub-0050009_ses-1_run-1_ax1_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_ax2_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_ax3_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_cor1_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_cor2_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_cor3_surfaces.png","sub-0050009",3,1
"sub-0050009_ses-1_run-1_sag1_surfaces.png","sub-0050009",3,1
"sub-0050009_ses-1_run-1_sag2_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_sag3_surfaces.png","sub-0050009",1,1
"sub-0050009_ses-1_run-1_sag4_surfaces.png","sub-0050009",1,1
"sub-0050010_ses-1_run-1_ax1_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_ax2_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_ax3_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_cor1_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_cor2_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_cor3_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_sag1_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_sag2_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_sag3_surfaces.png","sub-0050010",1,1
"sub-0050010_ses-1_run-1_sag4_surfaces.png","sub-0050010",1,1
"sub-0050011_ses-1_run-1_ax1_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_ax2_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_ax3_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_cor1_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_cor2_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_cor3_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_sag1_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_sag2_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_sag3_surfaces.png","sub-0050011",1,1
"sub-0050011_ses-1_run-1_sag4_surfaces.png","sub-0050011",1,1
"sub-0050012_ses-1_run-1_ax1_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_ax2_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_ax3_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_cor1_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_cor2_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_cor3_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_sag1_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_sag2_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_sag3_surfaces.png","sub-0050012",1,1
"sub-0050012_ses-1_run-1_sag4_surfaces.png","sub-0050012",1,1
"sub-0050013_ses-1_run-1_ax1_surfaces.png","sub-0050013",1,1
"sub-0050013_ses-1_run-1_ax2_surfaces.png","sub-0050013",1,1
"sub-0050013_ses-1_run-1_ax3_surfaces.png","sub-0050013",1,1
"sub-0050013_ses-1_run-1_cor1_surfaces.png","sub-0050013",2,1
"sub-0050013_ses-1_run-1_cor2_surfaces.png","sub-0050013",3,1
"sub-0050013_ses-1_run-1_cor3_surfaces.png","sub-0050013",1,1
"sub-0050013_ses-1_run-1_sag1_surfaces.png","sub-0050013",1,1
"sub-0050013_ses-1_run-1_sag2_surfaces.png","sub-0050013",3,3
"sub-0050013_ses-1_run-1_sag3_surfaces.png","sub-0050013",3,1
"sub-0050013_ses-1_run-1_sag4_surfaces.png","sub-0050013",1,1
"sub-0050014_ses-1_run-1_ax1_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_ax2_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_ax3_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_cor1_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_cor2_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_cor3_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_sag1_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_sag2_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_sag3_surfaces.png","sub-0050014",1,1
"sub-0050014_ses-1_run-1_sag4_surfaces.png","sub-0050014",1,1
"sub-0050015_ses-1_run-1_ax1_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_ax2_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_ax3_surfaces.png","sub-0050015",1,1
"sub-0050015_ses-1_run-1_cor1_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_cor2_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_cor3_surfaces.png","sub-0050015",1,1
"sub-0050015_ses-1_run-1_sag1_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_sag2_surfaces.png","sub-0050015",3,1
"sub-0050015_ses-1_run-1_sag3_surfaces.png","sub-0050015",2,1
"sub-0050015_ses-1_run-1_sag4_surfaces.png","sub-0050015",3,1
"sub-0050016_ses-1_run-1_ax1_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_ax2_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_ax3_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_cor1_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_cor2_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_cor3_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_sag1_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_sag2_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_sag3_surfaces.png","sub-0050016",1,1
"sub-0050016_ses-1_run-1_sag4_surfaces.png","sub-0050016",1,1
"sub-0050019_ses-1_run-1_ax1_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_ax2_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_ax3_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_cor1_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_cor2_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_cor3_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_sag1_surfaces.png","sub-0050019",1,1
"sub-0050019_ses-1_run-1_sag2_surfaces.png","sub-0050019",4,1
"sub-0050019_ses-1_run-1_sag3_surfaces.png","sub-0050019",3,1
"sub-0050019_ses-1_run-1_sag4_surfaces.png","sub-0050019",3,1
"sub-0050020_ses-1_run-1_ax1_surfaces.png","sub-0050020",1,1
"sub-0050020_ses-1_run-1_ax2_surfaces.png","sub-0050020",1,1
"sub-0050020_ses-1_run-1_ax3_surfaces.png","sub-0050020",1,1
"sub-0050020_ses-1_run-1_cor1_surfaces.png","sub-0050020",1,1
